S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
26313,Restaurant Supplies,Kitchen Equipment,Restaurant Supplies Support Service - Kitchen Equipment Option 5,Service,Per Project,Contract,1
26314,Restaurant Supplies,Crockery,Restaurant Supplies Product B - Crockery Type 1,Product,Per Animal,Annual,75
26315,Restaurant Supplies,Crockery,Restaurant Supplies Product C - Crockery Type 2,Product,Sheet,Box,80
26316,Restaurant Supplies,Crockery,Restaurant Supplies Item Premium - Crockery Type 3,Product,Roll,Pallet,85
26317,Restaurant Supplies,Crockery,Restaurant Supplies Item Standard - Crockery Type 4,Product,Sqft,Sqmt,90
26318,Restaurant Supplies,Crockery,Restaurant Supplies Item Economy - Crockery Type 5,Product,Sqmt,Acre,95
26319,Restaurant Supplies,Crockery,Restaurant Supplies Model X1 - Crockery Type 6,Product,Kg,Ton,100
26320,Restaurant Supplies,Crockery,Restaurant Supplies Model X2 - Crockery Type 7,Product,Litre,Barrel,105
26321,Restaurant Supplies,Crockery,Restaurant Supplies Model Pro - Crockery Type 8,Product,Piece,Dozen,110
26322,Restaurant Supplies,Crockery,Restaurant Supplies Solution Basic - Crockery Type 9,Product,Set,Lot,115
26323,Restaurant Supplies,Crockery,Restaurant Supplies Solution Advanced - Crockery Type 10,Product,Meter,Roll,120
26324,Restaurant Supplies,Crockery,Restaurant Supplies Solution Enterprise - Crockery Type 11,Product,Box,Carton,125
26325,Restaurant Supplies,Crockery,Restaurant Supplies Pack Small - Crockery Type 12,Product,Bag,Pallet,130
26326,Restaurant Supplies,Crockery,Restaurant Supplies Pack Medium - Crockery Type 13,Product,Unit,Lot,135
26327,Restaurant Supplies,Crockery,Restaurant Supplies Pack Large - Crockery Type 14,Product,License,Subscription,140
26328,Restaurant Supplies,Crockery,Restaurant Supplies Kit Starter - Crockery Type 15,Product,Service,Contract,145
26329,Restaurant Supplies,Crockery,Restaurant Supplies Kit Professional - Crockery Type 16,Product,Ton,MT,150
26330,Restaurant Supplies,Crockery,Restaurant Supplies Standard Service - Crockery Option 1,Service,Per Project,Contract,1
26331,Restaurant Supplies,Crockery,Restaurant Supplies Premium Service - Crockery Option 2,Service,Per Project,Contract,1
26332,Restaurant Supplies,Crockery,Restaurant Supplies Consultation - Crockery Option 3,Service,Per Project,Contract,1
26333,Restaurant Supplies,Crockery,Restaurant Supplies Management Service - Crockery Option 4,Service,Per Project,Contract,1
26334,Restaurant Supplies,Crockery,Restaurant Supplies Support Service - Crockery Option 5,Service,Per Project,Contract,1
26335,Restaurant Supplies,Cutlery,Restaurant Supplies Product B - Cutlery Type 1,Product,Credit,Pack,180
26336,Restaurant Supplies,Cutlery,Restaurant Supplies Product C - Cutlery Type 2,Product,Per Filing,Annual,185
26337,Restaurant Supplies,Cutlery,Restaurant Supplies Item Premium - Cutlery Type 3,Product,Per Month,Annual,190
26338,Restaurant Supplies,Cutlery,Restaurant Supplies Item Standard - Cutlery Type 4,Product,Per Hour,Monthly,195
26339,Restaurant Supplies,Cutlery,Restaurant Supplies Item Economy - Cutlery Type 5,Product,Per Project,Contract,200
26340,Restaurant Supplies,Cutlery,Restaurant Supplies Model X1 - Cutlery Type 6,Product,Per Acre,Per Season,205
26341,Restaurant Supplies,Cutlery,Restaurant Supplies Model X2 - Cutlery Type 7,Product,Per Day,Monthly,210
26342,Restaurant Supplies,Cutlery,Restaurant Supplies Model Pro - Cutlery Type 8,Product,Per Sample,Batch,215
26343,Restaurant Supplies,Cutlery,Restaurant Supplies Solution Basic - Cutlery Type 9,Product,Per Trip,Contract,220
26344,Restaurant Supplies,Cutlery,Restaurant Supplies Solution Advanced - Cutlery Type 10,Product,Per Formula,Contract,225
26345,Restaurant Supplies,Cutlery,Restaurant Supplies Solution Enterprise - Cutlery Type 11,Product,Per Animal,Annual,230
26346,Restaurant Supplies,Cutlery,Restaurant Supplies Pack Small - Cutlery Type 12,Product,Sheet,Box,235
26347,Restaurant Supplies,Cutlery,Restaurant Supplies Pack Medium - Cutlery Type 13,Product,Roll,Pallet,240
26348,Restaurant Supplies,Cutlery,Restaurant Supplies Pack Large - Cutlery Type 14,Product,Sqft,Sqmt,245
26349,Restaurant Supplies,Cutlery,Restaurant Supplies Kit Starter - Cutlery Type 15,Product,Sqmt,Acre,250
26350,Restaurant Supplies,Cutlery,Restaurant Supplies Kit Professional - Cutlery Type 16,Product,Kg,Ton,5
26351,Restaurant Supplies,Cutlery,Restaurant Supplies Standard Service - Cutlery Option 1,Service,Per Project,Contract,1
26352,Restaurant Supplies,Cutlery,Restaurant Supplies Premium Service - Cutlery Option 2,Service,Per Project,Contract,1
26353,Restaurant Supplies,Cutlery,Restaurant Supplies Consultation - Cutlery Option 3,Service,Per Project,Contract,1
26354,Restaurant Supplies,Cutlery,Restaurant Supplies Management Service - Cutlery Option 4,Service,Per Project,Contract,1
26355,Restaurant Supplies,Cutlery,Restaurant Supplies Support Service - Cutlery Option 5,Service,Per Project,Contract,1
26356,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Product B - Chef Uniforms Type 1,Product,Bag,Pallet,35
26357,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Product C - Chef Uniforms Type 2,Product,Unit,Lot,40
26358,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Item Premium - Chef Uniforms Type 3,Product,License,Subscription,45
26359,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Item Standard - Chef Uniforms Type 4,Product,Service,Contract,50
26360,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Item Economy - Chef Uniforms Type 5,Product,Ton,MT,55
26361,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Model X1 - Chef Uniforms Type 6,Product,Pack,Carton,60
26362,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Model X2 - Chef Uniforms Type 7,Product,Gram,Kg,65
26363,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Model Pro - Chef Uniforms Type 8,Product,Can,Pallet,70
26364,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Solution Basic - Chef Uniforms Type 9,Product,Book,Box,75
26365,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Solution Advanced - Chef Uniforms Type 10,Product,Certificate,Lot,80
26366,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Solution Enterprise - Chef Uniforms Type 11,Product,Credit,Pack,85
26367,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Pack Small - Chef Uniforms Type 12,Product,Per Filing,Annual,90
26368,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Pack Medium - Chef Uniforms Type 13,Product,Per Month,Annual,95
26369,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Pack Large - Chef Uniforms Type 14,Product,Per Hour,Monthly,100
26370,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Kit Starter - Chef Uniforms Type 15,Product,Per Project,Contract,105
26371,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Kit Professional - Chef Uniforms Type 16,Product,Per Acre,Per Season,110
26372,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Standard Service - Chef Uniforms Option 1,Service,Per Project,Contract,1
26373,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Premium Service - Chef Uniforms Option 2,Service,Per Project,Contract,1
26374,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Consultation - Chef Uniforms Option 3,Service,Per Project,Contract,1
26375,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Management Service - Chef Uniforms Option 4,Service,Per Project,Contract,1
26376,Restaurant Supplies,Chef Uniforms,Restaurant Supplies Support Service - Chef Uniforms Option 5,Service,Per Project,Contract,1
26377,Restaurant Supplies,POS Systems,Restaurant Supplies Product B - POS Systems Type 1,Product,Sheet,Box,140
26378,Restaurant Supplies,POS Systems,Restaurant Supplies Product C - POS Systems Type 2,Product,Roll,Pallet,145
26379,Restaurant Supplies,POS Systems,Restaurant Supplies Item Premium - POS Systems Type 3,Product,Sqft,Sqmt,150
26380,Restaurant Supplies,POS Systems,Restaurant Supplies Item Standard - POS Systems Type 4,Product,Sqmt,Acre,155
26381,Restaurant Supplies,POS Systems,Restaurant Supplies Item Economy - POS Systems Type 5,Product,Kg,Ton,160
26382,Restaurant Supplies,POS Systems,Restaurant Supplies Model X1 - POS Systems Type 6,Product,Litre,Barrel,165
26383,Restaurant Supplies,POS Systems,Restaurant Supplies Model X2 - POS Systems Type 7,Product,Piece,Dozen,170
26384,Restaurant Supplies,POS Systems,Restaurant Supplies Model Pro - POS Systems Type 8,Product,Set,Lot,175
26385,Restaurant Supplies,POS Systems,Restaurant Supplies Solution Basic - POS Systems Type 9,Product,Meter,Roll,180
26386,Restaurant Supplies,POS Systems,Restaurant Supplies Solution Advanced - POS Systems Type 10,Product,Box,Carton,185
26387,Restaurant Supplies,POS Systems,Restaurant Supplies Solution Enterprise - POS Systems Type 11,Product,Bag,Pallet,190
26388,Restaurant Supplies,POS Systems,Restaurant Supplies Pack Small - POS Systems Type 12,Product,Unit,Lot,195
26389,Restaurant Supplies,POS Systems,Restaurant Supplies Pack Medium - POS Systems Type 13,Product,License,Subscription,200
26390,Restaurant Supplies,POS Systems,Restaurant Supplies Pack Large - POS Systems Type 14,Product,Service,Contract,205
26391,Restaurant Supplies,POS Systems,Restaurant Supplies Kit Starter - POS Systems Type 15,Product,Ton,MT,210
26392,Restaurant Supplies,POS Systems,Restaurant Supplies Kit Professional - POS Systems Type 16,Product,Pack,Carton,215
26393,Restaurant Supplies,POS Systems,Restaurant Supplies Standard Service - POS Systems Option 1,Service,Per Project,Contract,1
26394,Restaurant Supplies,POS Systems,Restaurant Supplies Premium Service - POS Systems Option 2,Service,Per Project,Contract,1
26395,Restaurant Supplies,POS Systems,Restaurant Supplies Consultation - POS Systems Option 3,Service,Per Project,Contract,1
26396,Restaurant Supplies,POS Systems,Restaurant Supplies Management Service - POS Systems Option 4,Service,Per Project,Contract,1
26397,Restaurant Supplies,POS Systems,Restaurant Supplies Support Service - POS Systems Option 5,Service,Per Project,Contract,1
26398,Restaurant Supplies,Menu Boards,Restaurant Supplies Product B - Menu Boards Type 1,Product,Per Filing,Annual,245
26399,Restaurant Supplies,Menu Boards,Restaurant Supplies Product C - Menu Boards Type 2,Product,Per Month,Annual,250
26400,Restaurant Supplies,Menu Boards,Restaurant Supplies Item Premium - Menu Boards Type 3,Product,Per Hour,Monthly,5
26401,Restaurant Supplies,Menu Boards,Restaurant Supplies Item Standard - Menu Boards Type 4,Product,Per Project,Contract,10
26402,Restaurant Supplies,Menu Boards,Restaurant Supplies Item Economy - Menu Boards Type 5,Product,Per Acre,Per Season,15
26403,Restaurant Supplies,Menu Boards,Restaurant Supplies Model X1 - Menu Boards Type 6,Product,Per Day,Monthly,20
26404,Restaurant Supplies,Menu Boards,Restaurant Supplies Model X2 - Menu Boards Type 7,Product,Per Sample,Batch,25
26405,Restaurant Supplies,Menu Boards,Restaurant Supplies Model Pro - Menu Boards Type 8,Product,Per Trip,Contract,30
26406,Restaurant Supplies,Menu Boards,Restaurant Supplies Solution Basic - Menu Boards Type 9,Product,Per Formula,Contract,35
26407,Restaurant Supplies,Menu Boards,Restaurant Supplies Solution Advanced - Menu Boards Type 10,Product,Per Animal,Annual,40
26408,Restaurant Supplies,Menu Boards,Restaurant Supplies Solution Enterprise - Menu Boards Type 11,Product,Sheet,Box,45
26409,Restaurant Supplies,Menu Boards,Restaurant Supplies Pack Small - Menu Boards Type 12,Product,Roll,Pallet,50
26410,Restaurant Supplies,Menu Boards,Restaurant Supplies Pack Medium - Menu Boards Type 13,Product,Sqft,Sqmt,55
26411,Restaurant Supplies,Menu Boards,Restaurant Supplies Pack Large - Menu Boards Type 14,Product,Sqmt,Acre,60
26412,Restaurant Supplies,Menu Boards,Restaurant Supplies Kit Starter - Menu Boards Type 15,Product,Kg,Ton,65
26413,Restaurant Supplies,Menu Boards,Restaurant Supplies Kit Professional - Menu Boards Type 16,Product,Litre,Barrel,70
26414,Restaurant Supplies,Menu Boards,Restaurant Supplies Standard Service - Menu Boards Option 1,Service,Per Project,Contract,1
26415,Restaurant Supplies,Menu Boards,Restaurant Supplies Premium Service - Menu Boards Option 2,Service,Per Project,Contract,1
26416,Restaurant Supplies,Menu Boards,Restaurant Supplies Consultation - Menu Boards Option 3,Service,Per Project,Contract,1
26417,Restaurant Supplies,Menu Boards,Restaurant Supplies Management Service - Menu Boards Option 4,Service,Per Project,Contract,1
26418,Restaurant Supplies,Menu Boards,Restaurant Supplies Support Service - Menu Boards Option 5,Service,Per Project,Contract,1
26419,Restaurant Supplies,Food Warmers,Restaurant Supplies Product B - Food Warmers Type 1,Product,Unit,Lot,100
26420,Restaurant Supplies,Food Warmers,Restaurant Supplies Product C - Food Warmers Type 2,Product,License,Subscription,105
26421,Restaurant Supplies,Food Warmers,Restaurant Supplies Item Premium - Food Warmers Type 3,Product,Service,Contract,110
26422,Restaurant Supplies,Food Warmers,Restaurant Supplies Item Standard - Food Warmers Type 4,Product,Ton,MT,115
26423,Restaurant Supplies,Food Warmers,Restaurant Supplies Item Economy - Food Warmers Type 5,Product,Pack,Carton,120
26424,Restaurant Supplies,Food Warmers,Restaurant Supplies Model X1 - Food Warmers Type 6,Product,Gram,Kg,125
26425,Restaurant Supplies,Food Warmers,Restaurant Supplies Model X2 - Food Warmers Type 7,Product,Can,Pallet,130
26426,Restaurant Supplies,Food Warmers,Restaurant Supplies Model Pro - Food Warmers Type 8,Product,Book,Box,135
26427,Restaurant Supplies,Food Warmers,Restaurant Supplies Solution Basic - Food Warmers Type 9,Product,Certificate,Lot,140
26428,Restaurant Supplies,Food Warmers,Restaurant Supplies Solution Advanced - Food Warmers Type 10,Product,Credit,Pack,145
26429,Restaurant Supplies,Food Warmers,Restaurant Supplies Solution Enterprise - Food Warmers Type 11,Product,Per Filing,Annual,150
26430,Restaurant Supplies,Food Warmers,Restaurant Supplies Pack Small - Food Warmers Type 12,Product,Per Month,Annual,155
26431,Restaurant Supplies,Food Warmers,Restaurant Supplies Pack Medium - Food Warmers Type 13,Product,Per Hour,Monthly,160
26432,Restaurant Supplies,Food Warmers,Restaurant Supplies Pack Large - Food Warmers Type 14,Product,Per Project,Contract,165
26433,Restaurant Supplies,Food Warmers,Restaurant Supplies Kit Starter - Food Warmers Type 15,Product,Per Acre,Per Season,170
26434,Restaurant Supplies,Food Warmers,Restaurant Supplies Kit Professional - Food Warmers Type 16,Product,Per Day,Monthly,175
26435,Restaurant Supplies,Food Warmers,Restaurant Supplies Standard Service - Food Warmers Option 1,Service,Per Project,Contract,1
26436,Restaurant Supplies,Food Warmers,Restaurant Supplies Premium Service - Food Warmers Option 2,Service,Per Project,Contract,1
26437,Restaurant Supplies,Food Warmers,Restaurant Supplies Consultation - Food Warmers Option 3,Service,Per Project,Contract,1
26438,Restaurant Supplies,Food Warmers,Restaurant Supplies Management Service - Food Warmers Option 4,Service,Per Project,Contract,1
26439,Restaurant Supplies,Food Warmers,Restaurant Supplies Support Service - Food Warmers Option 5,Service,Per Project,Contract,1
26440,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Product B - Cleaning Supplies Type 1,Product,Roll,Pallet,205
26441,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Product C - Cleaning Supplies Type 2,Product,Sqft,Sqmt,210
26442,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Item Premium - Cleaning Supplies Type 3,Product,Sqmt,Acre,215
26443,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Item Standard - Cleaning Supplies Type 4,Product,Kg,Ton,220
26444,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Item Economy - Cleaning Supplies Type 5,Product,Litre,Barrel,225
26445,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Model X1 - Cleaning Supplies Type 6,Product,Piece,Dozen,230
26446,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Model X2 - Cleaning Supplies Type 7,Product,Set,Lot,235
26447,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Model Pro - Cleaning Supplies Type 8,Product,Meter,Roll,240
26448,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Solution Basic - Cleaning Supplies Type 9,Product,Box,Carton,245
26449,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Solution Advanced - Cleaning Supplies Type 10,Product,Bag,Pallet,250
26450,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Solution Enterprise - Cleaning Supplies Type 11,Product,Unit,Lot,5
26451,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Pack Small - Cleaning Supplies Type 12,Product,License,Subscription,10
26452,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Pack Medium - Cleaning Supplies Type 13,Product,Service,Contract,15
26453,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Pack Large - Cleaning Supplies Type 14,Product,Ton,MT,20
26454,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Kit Starter - Cleaning Supplies Type 15,Product,Pack,Carton,25
26455,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Kit Professional - Cleaning Supplies Type 16,Product,Gram,Kg,30
26456,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Standard Service - Cleaning Supplies Option 1,Service,Per Project,Contract,1
26457,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Premium Service - Cleaning Supplies Option 2,Service,Per Project,Contract,1
26458,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Consultation - Cleaning Supplies Option 3,Service,Per Project,Contract,1
26459,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Management Service - Cleaning Supplies Option 4,Service,Per Project,Contract,1
26460,Restaurant Supplies,Cleaning Supplies,Restaurant Supplies Support Service - Cleaning Supplies Option 5,Service,Per Project,Contract,1
26461,Rice & Pulses,Basmati Rice,Rice & Pulses Product B - Basmati Rice Type 1,Product,Per Month,Annual,60
26462,Rice & Pulses,Basmati Rice,Rice & Pulses Product C - Basmati Rice Type 2,Product,Per Hour,Monthly,65
26463,Rice & Pulses,Basmati Rice,Rice & Pulses Item Premium - Basmati Rice Type 3,Product,Per Project,Contract,70
26464,Rice & Pulses,Basmati Rice,Rice & Pulses Item Standard - Basmati Rice Type 4,Product,Per Acre,Per Season,75
26465,Rice & Pulses,Basmati Rice,Rice & Pulses Item Economy - Basmati Rice Type 5,Product,Per Day,Monthly,80
26466,Rice & Pulses,Basmati Rice,Rice & Pulses Model X1 - Basmati Rice Type 6,Product,Per Sample,Batch,85
26467,Rice & Pulses,Basmati Rice,Rice & Pulses Model X2 - Basmati Rice Type 7,Product,Per Trip,Contract,90
26468,Rice & Pulses,Basmati Rice,Rice & Pulses Model Pro - Basmati Rice Type 8,Product,Per Formula,Contract,95
26469,Rice & Pulses,Basmati Rice,Rice & Pulses Solution Basic - Basmati Rice Type 9,Product,Per Animal,Annual,100
26470,Rice & Pulses,Basmati Rice,Rice & Pulses Solution Advanced - Basmati Rice Type 10,Product,Sheet,Box,105
26471,Rice & Pulses,Basmati Rice,Rice & Pulses Solution Enterprise - Basmati Rice Type 11,Product,Roll,Pallet,110
26472,Rice & Pulses,Basmati Rice,Rice & Pulses Pack Small - Basmati Rice Type 12,Product,Sqft,Sqmt,115
26473,Rice & Pulses,Basmati Rice,Rice & Pulses Pack Medium - Basmati Rice Type 13,Product,Sqmt,Acre,120
26474,Rice & Pulses,Basmati Rice,Rice & Pulses Pack Large - Basmati Rice Type 14,Product,Kg,Ton,125
26475,Rice & Pulses,Basmati Rice,Rice & Pulses Kit Starter - Basmati Rice Type 15,Product,Litre,Barrel,130
26476,Rice & Pulses,Basmati Rice,Rice & Pulses Kit Professional - Basmati Rice Type 16,Product,Piece,Dozen,135
26477,Rice & Pulses,Basmati Rice,Rice & Pulses Standard Service - Basmati Rice Option 1,Service,Per Project,Contract,1
26478,Rice & Pulses,Basmati Rice,Rice & Pulses Premium Service - Basmati Rice Option 2,Service,Per Project,Contract,1
26479,Rice & Pulses,Basmati Rice,Rice & Pulses Consultation - Basmati Rice Option 3,Service,Per Project,Contract,1
26480,Rice & Pulses,Basmati Rice,Rice & Pulses Management Service - Basmati Rice Option 4,Service,Per Project,Contract,1
26481,Rice & Pulses,Basmati Rice,Rice & Pulses Support Service - Basmati Rice Option 5,Service,Per Project,Contract,1
26482,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Product B - Non-Basmati Rice Type 1,Product,License,Subscription,165
26483,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Product C - Non-Basmati Rice Type 2,Product,Service,Contract,170
26484,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Item Premium - Non-Basmati Rice Type 3,Product,Ton,MT,175
26485,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Item Standard - Non-Basmati Rice Type 4,Product,Pack,Carton,180
26486,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Item Economy - Non-Basmati Rice Type 5,Product,Gram,Kg,185
26487,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Model X1 - Non-Basmati Rice Type 6,Product,Can,Pallet,190
26488,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Model X2 - Non-Basmati Rice Type 7,Product,Book,Box,195
26489,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Model Pro - Non-Basmati Rice Type 8,Product,Certificate,Lot,200
26490,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Solution Basic - Non-Basmati Rice Type 9,Product,Credit,Pack,205
26491,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Solution Advanced - Non-Basmati Rice Type 10,Product,Per Filing,Annual,210
26492,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Solution Enterprise - Non-Basmati Rice Type 11,Product,Per Month,Annual,215
26493,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Pack Small - Non-Basmati Rice Type 12,Product,Per Hour,Monthly,220
26494,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Pack Medium - Non-Basmati Rice Type 13,Product,Per Project,Contract,225
26495,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Pack Large - Non-Basmati Rice Type 14,Product,Per Acre,Per Season,230
26496,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Kit Starter - Non-Basmati Rice Type 15,Product,Per Day,Monthly,235
26497,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Kit Professional - Non-Basmati Rice Type 16,Product,Per Sample,Batch,240
26498,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Standard Service - Non-Basmati Rice Option 1,Service,Per Project,Contract,1
26499,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Premium Service - Non-Basmati Rice Option 2,Service,Per Project,Contract,1
26500,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Consultation - Non-Basmati Rice Option 3,Service,Per Project,Contract,1
26501,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Management Service - Non-Basmati Rice Option 4,Service,Per Project,Contract,1
26502,Rice & Pulses,Non-Basmati Rice,Rice & Pulses Support Service - Non-Basmati Rice Option 5,Service,Per Project,Contract,1
26503,Rice & Pulses,Toor Dal,Rice & Pulses Product B - Toor Dal Type 1,Product,Sqft,Sqmt,20
26504,Rice & Pulses,Toor Dal,Rice & Pulses Product C - Toor Dal Type 2,Product,Sqmt,Acre,25
26505,Rice & Pulses,Toor Dal,Rice & Pulses Item Premium - Toor Dal Type 3,Product,Kg,Ton,30
26506,Rice & Pulses,Toor Dal,Rice & Pulses Item Standard - Toor Dal Type 4,Product,Litre,Barrel,35
26507,Rice & Pulses,Toor Dal,Rice & Pulses Item Economy - Toor Dal Type 5,Product,Piece,Dozen,40
26508,Rice & Pulses,Toor Dal,Rice & Pulses Model X1 - Toor Dal Type 6,Product,Set,Lot,45
26509,Rice & Pulses,Toor Dal,Rice & Pulses Model X2 - Toor Dal Type 7,Product,Meter,Roll,50
26510,Rice & Pulses,Toor Dal,Rice & Pulses Model Pro - Toor Dal Type 8,Product,Box,Carton,55
26511,Rice & Pulses,Toor Dal,Rice & Pulses Solution Basic - Toor Dal Type 9,Product,Bag,Pallet,60
26512,Rice & Pulses,Toor Dal,Rice & Pulses Solution Advanced - Toor Dal Type 10,Product,Unit,Lot,65
26513,Rice & Pulses,Toor Dal,Rice & Pulses Solution Enterprise - Toor Dal Type 11,Product,License,Subscription,70
26514,Rice & Pulses,Toor Dal,Rice & Pulses Pack Small - Toor Dal Type 12,Product,Service,Contract,75
26515,Rice & Pulses,Toor Dal,Rice & Pulses Pack Medium - Toor Dal Type 13,Product,Ton,MT,80
26516,Rice & Pulses,Toor Dal,Rice & Pulses Pack Large - Toor Dal Type 14,Product,Pack,Carton,85
26517,Rice & Pulses,Toor Dal,Rice & Pulses Kit Starter - Toor Dal Type 15,Product,Gram,Kg,90
26518,Rice & Pulses,Toor Dal,Rice & Pulses Kit Professional - Toor Dal Type 16,Product,Can,Pallet,95
26519,Rice & Pulses,Toor Dal,Rice & Pulses Standard Service - Toor Dal Option 1,Service,Per Project,Contract,1
26520,Rice & Pulses,Toor Dal,Rice & Pulses Premium Service - Toor Dal Option 2,Service,Per Project,Contract,1
26521,Rice & Pulses,Toor Dal,Rice & Pulses Consultation - Toor Dal Option 3,Service,Per Project,Contract,1
26522,Rice & Pulses,Toor Dal,Rice & Pulses Management Service - Toor Dal Option 4,Service,Per Project,Contract,1
26523,Rice & Pulses,Toor Dal,Rice & Pulses Support Service - Toor Dal Option 5,Service,Per Project,Contract,1
26524,Rice & Pulses,Chana Dal,Rice & Pulses Product B - Chana Dal Type 1,Product,Per Hour,Monthly,125
26525,Rice & Pulses,Chana Dal,Rice & Pulses Product C - Chana Dal Type 2,Product,Per Project,Contract,130
26526,Rice & Pulses,Chana Dal,Rice & Pulses Item Premium - Chana Dal Type 3,Product,Per Acre,Per Season,135
26527,Rice & Pulses,Chana Dal,Rice & Pulses Item Standard - Chana Dal Type 4,Product,Per Day,Monthly,140
26528,Rice & Pulses,Chana Dal,Rice & Pulses Item Economy - Chana Dal Type 5,Product,Per Sample,Batch,145
26529,Rice & Pulses,Chana Dal,Rice & Pulses Model X1 - Chana Dal Type 6,Product,Per Trip,Contract,150
26530,Rice & Pulses,Chana Dal,Rice & Pulses Model X2 - Chana Dal Type 7,Product,Per Formula,Contract,155
26531,Rice & Pulses,Chana Dal,Rice & Pulses Model Pro - Chana Dal Type 8,Product,Per Animal,Annual,160
26532,Rice & Pulses,Chana Dal,Rice & Pulses Solution Basic - Chana Dal Type 9,Product,Sheet,Box,165
26533,Rice & Pulses,Chana Dal,Rice & Pulses Solution Advanced - Chana Dal Type 10,Product,Roll,Pallet,170
26534,Rice & Pulses,Chana Dal,Rice & Pulses Solution Enterprise - Chana Dal Type 11,Product,Sqft,Sqmt,175
26535,Rice & Pulses,Chana Dal,Rice & Pulses Pack Small - Chana Dal Type 12,Product,Sqmt,Acre,180
26536,Rice & Pulses,Chana Dal,Rice & Pulses Pack Medium - Chana Dal Type 13,Product,Kg,Ton,185
26537,Rice & Pulses,Chana Dal,Rice & Pulses Pack Large - Chana Dal Type 14,Product,Litre,Barrel,190
26538,Rice & Pulses,Chana Dal,Rice & Pulses Kit Starter - Chana Dal Type 15,Product,Piece,Dozen,195
26539,Rice & Pulses,Chana Dal,Rice & Pulses Kit Professional - Chana Dal Type 16,Product,Set,Lot,200
26540,Rice & Pulses,Chana Dal,Rice & Pulses Standard Service - Chana Dal Option 1,Service,Per Project,Contract,1
26541,Rice & Pulses,Chana Dal,Rice & Pulses Premium Service - Chana Dal Option 2,Service,Per Project,Contract,1
26542,Rice & Pulses,Chana Dal,Rice & Pulses Consultation - Chana Dal Option 3,Service,Per Project,Contract,1
